ticket_id,date,ticket_type,channel,assigned_queue,agent,assignment_time_min,met_30min_goal,defect_count,defect_categories,reopened
INC-4427,2026-06-11,Password reset,Walk-in,Applications,A-01,101,No,1,Delayed assignment,No
INC-4428,2026-06-11,Hardware fault,Walk-in,Desktop Support,A-03,43,No,1,Reopened ticket,Yes
INC-4429,2026-06-11,Other,Walk-in,Desktop Support,A-05,89,No,0,None,No
INC-4430,2026-06-11,Password reset,Email,Network,A-05,91,No,0,None,No
INC-4431,2026-06-11,Software install,Email,Security,A-05,91,No,0,None,No
INC-4432,2026-06-11,Password reset,Walk-in,Security,A-02,31,No,2,Duplicate ticket; Wrong queue,No
INC-4433,2026-06-11,Other,Portal,Accounts,A-01,114,No,1,Delayed assignment,No
INC-4434,2026-06-11,Password reset,Email,Applications,A-05,85,No,0,None,No
INC-4435,2026-06-11,Email problem,Phone,Applications,A-05,83,No,0,None,No
INC-4436,2026-06-11,Email problem,Portal,Network,A-05,44,No,0,None,No
INC-4437,2026-06-11,Hardware fault,Walk-in,Network,A-05,73,No,0,None,No
INC-4438,2026-06-11,Password reset,Walk-in,Applications,A-03,46,No,0,None,No
INC-4439,2026-06-11,Access request,Portal,Desktop Support,A-04,78,No,0,None,No
INC-4440,2026-06-11,Software install,Email,Accounts,A-03,39,No,0,None,No
INC-4441,2026-06-11,Password reset,Walk-in,Desktop Support,A-04,40,No,0,None,No
INC-4442,2026-06-11,Password reset,Email,Network,A-04,163,No,1,Delayed assignment,No
INC-4443,2026-06-11,Access request,Walk-in,Applications,A-01,60,No,0,None,No
INC-4444,2026-06-11,Other,Portal,Desktop Support,A-05,71,No,2,Missing information; Wrong queue,No
INC-4445,2026-06-11,Network issue,Phone,Security,A-04,63,No,0,None,No
INC-4446,2026-06-11,Other,Phone,Security,A-03,24,Yes,0,None,No
INC-4447,2026-06-11,Password reset,Email,Accounts,A-01,87,No,0,None,No
INC-4448,2026-06-11,Access request,Walk-in,Accounts,A-05,46,No,0,None,No
INC-4449,2026-06-11,Access request,Phone,Desktop Support,A-01,147,No,1,Delayed assignment,No
INC-4450,2026-06-11,Access request,Email,Applications,A-04,111,No,1,Delayed assignment,No
INC-4451,2026-06-11,Hardware fault,Walk-in,Network,A-04,66,No,2,Duplicate ticket; Reopened ticket,Yes
INC-4452,2026-06-11,Password reset,Walk-in,Applications,A-05,156,No,1,Delayed assignment,No
INC-4453,2026-06-11,Password reset,Walk-in,Desktop Support,A-03,36,No,0,None,No
INC-4454,2026-06-11,Software install,Email,Accounts,A-01,107,No,1,Delayed assignment,No
INC-4455,2026-06-11,Network issue,Walk-in,Applications,A-05,49,No,0,None,No
INC-4456,2026-06-11,Email problem,Walk-in,Network,A-03,33,No,0,None,No
INC-4457,2026-06-11,Software install,Phone,Applications,A-02,68,No,0,None,No
INC-4458,2026-06-11,Software install,Portal,Security,A-04,23,Yes,0,None,No
INC-4459,2026-06-11,Access request,Phone,Security,A-04,55,No,0,None,No
INC-4460,2026-06-11,Hardware fault,Walk-in,Accounts,A-01,66,No,0,None,No
INC-4461,2026-06-12,Software install,Phone,Applications,A-04,64,No,0,None,No
INC-4462,2026-06-12,Software install,Email,Security,A-02,60,No,1,Reopened ticket,Yes
INC-4463,2026-06-12,Network issue,Walk-in,Network,A-05,53,No,1,Missing information,No
INC-4464,2026-06-12,Email problem,Portal,Accounts,A-03,64,No,0,None,No
INC-4465,2026-06-12,Password reset,Phone,Network,A-04,49,No,0,None,No
INC-4466,2026-06-12,Access request,Portal,Network,A-01,74,No,0,None,No
INC-4467,2026-06-12,Hardware fault,Phone,Network,A-05,30,Yes,1,Missing information,No
INC-4468,2026-06-12,Access request,Phone,Desktop Support,A-05,79,No,0,None,No
INC-4469,2026-06-12,Password reset,Email,Applications,A-05,49,No,0,None,No
INC-4470,2026-06-12,Password reset,Portal,Network,A-04,118,No,1,Delayed assignment,No
INC-4471,2026-06-12,Access request,Portal,Desktop Support,A-02,137,No,1,Delayed assignment,No
INC-4472,2026-06-12,Software install,Email,Network,A-01,56,No,0,None,No
INC-4473,2026-06-12,Software install,Walk-in,Accounts,A-05,96,No,1,Delayed assignment,No
INC-4474,2026-06-12,Password reset,Phone,Applications,A-01,50,No,1,Missing information,No
INC-4475,2026-06-12,Software install,Walk-in,Desktop Support,A-03,78,No,2,Duplicate ticket; Missing information,No
INC-4476,2026-06-12,Software install,Email,Security,A-05,75,No,0,None,No
INC-4477,2026-06-12,Software install,Phone,Applications,A-05,56,No,0,None,No
INC-4478,2026-06-12,Hardware fault,Walk-in,Network,A-03,73,No,0,None,No
INC-4479,2026-06-12,Software install,Walk-in,Network,A-05,78,No,0,None,No
INC-4480,2026-06-12,Password reset,Email,Accounts,A-02,105,No,1,Delayed assignment,No
INC-4481,2026-06-12,Network issue,Walk-in,Network,A-01,70,No,0,None,No
INC-4482,2026-06-12,Hardware fault,Email,Security,A-01,56,No,1,Missing information,No
INC-4483,2026-06-12,Password reset,Phone,Desktop Support,A-01,42,No,0,None,No
INC-4484,2026-06-12,Hardware fault,Phone,Applications,A-03,140,No,1,Delayed assignment,No
INC-4485,2026-06-12,Password reset,Email,Security,A-05,124,No,1,Delayed assignment,No
INC-4486,2026-06-12,Other,Portal,Accounts,A-02,38,No,0,None,No
INC-4487,2026-06-12,Other,Walk-in,Security,A-05,57,No,0,None,No
INC-4488,2026-06-12,Email problem,Email,Security,A-02,87,No,0,None,No
INC-4489,2026-06-12,Access request,Email,Accounts,A-04,27,Yes,0,None,No
INC-4490,2026-06-12,Password reset,Email,Desktop Support,A-05,38,No,0,None,No
INC-4491,2026-06-12,Password reset,Email,Accounts,A-02,147,No,1,Delayed assignment,No
INC-4492,2026-06-12,Software install,Portal,Network,A-03,86,No,0,None,No
INC-4493,2026-06-12,Email problem,Portal,Network,A-02,112,No,1,Delayed assignment,No
INC-4494,2026-06-12,Email problem,Walk-in,Applications,A-04,127,No,1,Delayed assignment,No
INC-4495,2026-06-12,Software install,Walk-in,Desktop Support,A-02,19,Yes,0,None,No
INC-4496,2026-06-12,Password reset,Email,Accounts,A-05,65,No,1,Wrong queue,No
INC-4497,2026-06-12,Access request,Portal,Accounts,A-01,129,No,1,Delayed assignment,No
INC-4498,2026-06-12,Password reset,Walk-in,Applications,A-02,97,No,1,Delayed assignment,No
INC-4499,2026-06-12,Password reset,Walk-in,Accounts,A-05,123,No,1,Delayed assignment,No
INC-4500,2026-06-12,Network issue,Email,Applications,A-03,65,No,0,None,No
